"index,Sentiment,Tweet"
"179,negative,ah admin lama2 tidak suka akun berita basi lihat admin kellen amora pakai jingkrak2 saring admin biar berita tidak blunder posting kd posting videon kellen amora joget arsya arsyi"
"180,negative,iyakm bening bening buluk iya nelen sih komen kaya surup"
"181,negative,sangat ngefans kagum lihat dehtapi lihat anak jelekbuluk usernamehermansyah kutuk timpa bunda kd untung allah swt ganti amora adik nyagemezzzzzzz lihat cocok banget anak artis class bunda kd"
"182,negative,dasar anak lebayurusan pribadi umbarbiar blow up hadehhgunanya whatsapp sms or telepon apasuka aneh"
"183,negative,coba lihat bibir mu sayang pantat ayam wajah mu bulu kentut perfectoooo"
"184,negative,gagal fokus dengar suara jengkel iya dengernya maaf manusia jengkel"
"185,negative,muljem bicara tidak blepot tidak nyadar mau hidup enak pakai rebut laki"
"186,negative,lucu iya kata2bawa2 tuhankalau pepet tidak rusak rumah tangga orgibarat roboh bangun masjid nyabayangin dosa munasi bubur moga bahagia dunia"
"187,negative,iyah tidak rubah pandang tuhan hadap utama setan mikirrrr suami majikan embat"
"188,negative,giling mulan jalang kasih ceramah hahahaha dasar cireng tidak tidak ngaca cireng ceramah sok2 kaya pahlawan siang biar teman ter kaya selpii"
"189,negative,iya pandang tuhan hadap jelek sih rebut suami mulia tuhan"
"190,negative,sejati setan wujud manusia kerja setan iya goda manusia"
"191,negative,tidak baca netizen nyesel tidak nimpuk telor kah mulangw ketawa baca wakil iya buang2 wktu ketemu tidak mutu mulanmsh untung nyempet2in nuli biar nyadar pelakor tidak harga ketemu baik2 bunmaiketularan aura positif"
"192,negative,editanx paraaaahhoplas laaah nyai ngedit2 hahaa maluuu"
"193,negative,jeleklecekbantet"
"194,negative,tenar iya ampuuunmalu anak yah kasi"
"195,negative,heran pakai anv pesbur bederet skandal bertubi2 tidak malu muka tembok sangat tidak faedah acara manusia kardus"
"196,negative,wey bodoh bedain vape shisha rokok ngerokok pakai acara tidak"
"197,negative,jijik liatnyakaya ulet bulu kluget2 gituhihihiampe sgitunya kenal"
"198,negative,jarang belai anjing muka murah bangetttt najisss"
"199,negative,usernamealycia iya sist jijik banget liat sok suci ngatain sih malu artis papan otak tidak fikir bicara bngt gada wibawa nyadar komentar manusia gada"
"200,positive,sabar iya insya allah buka pintu syurga halang api neraka tua"
"201,positive,lagu tata kisah nyata rumah tangga tata tata bener bener sayang get suami syukur moga awet"
"202,positive,komen tidak sedih ketawa2 iya iya sakit pasang smpe berlarut2 sih sedih ampe depresi serahin allah ajabawa bahagia mski sakit senyum2 wajah hati senyum menetralisir kondisi hati puruk pepatah bilang bahagia bahagia sedih sedih imbang biar tidak gila"
"203,positive,suka banget pasang moga gigi raffi sakinnah mawaddah warrahmah moga tidak pisah jodoh maut pisah amiin"
"204,positive,jemima anak angkat celine eleeya anak hubung celine dirly haru jemima anak panti asuh rawat wajar stefen pilih celine hati"
"205,positive,lucu bilang stefan menghabiskn muda wkwkumurnya mah tidak muda muka baby bersyukurbonus celinenya mantan begimane umur ude pacran mcam laki bini hiks lepas deh susah ambil putus kaya stefan tipical cowo tnggung jwabnya"
"206,positive,bawa2 keenan raisa bahagia ngedapetin suami super ngemong mature kaya hamish raisa dewasa banding wanita umur mikirin raisa hamish sama2 untung pasang suami istri tidak gagal move on so congratz raisa hamish moga nikah sakinah mawadah warahmah"
"207,positive,raisa cantik yaaa artis tidak tonjol nikah mewah cantik sederhana sempurna banget"
"208,positive,syudah cantik tidak dandan heboh lihat cantik makeup simple pesona hamish klepek2"
"209,positive,bagus cari ilmu suami didik"
"210,positive,sukak cewek cantik kmauan blajarnya"
"211,positive,yaampun artis bagus attitude layak panutan kuliah negeri bakti suami pilih kuliah wilayah suami salut banget"
"212,positive,semangat batman va support manusia salah tolong bahas pliis"
"213,positive,ya salam kenal ya mbk neng kenal mbk sbagai manusia ingetiny sbagai manusia sombong digedein mentang2 artis hahay mbk pergi ya komen foto korban sel"
"214,positive,keren yaaa sederhana pancar sukak presiden"
"215,positive,presiden embel gelar bangga"
"216,positive,proud of indonesia god bless indonesia"
"217,positive,amazing bngt miss national costume kereenn bangga budaya indonesia"
"218,positive,bangga"
"219,positive,proud of kak dea sangat patut bangga"
"220,positive,suka banget pidatox pembawaanx elegan brwibawah pntas mdptkansalut"
"221,positive,percaya kak nik jujur semangat kak nik hebat"
"222,positive,usernamem tidak benci nikmir salut tidak munafik artis maaf image dpan sok sok aniaya jual air nikita real sygnya msyarakat cendrung lihat superfisial"
"223,positive,cantik alami bedak tebel gaya bak tante2"
"224,positive,cantik gagah mudah lancar dampe"
"225,positive,cantik dongpenampilannya dewasa sesuai muka cantik indonesiaclassy ayu ayu"
"226,positive,lcb cantikk sangat lcb untung durian durian beuntung neng lcb sakina mawaddah warahmah amin"
"227,positive,ganteng tidak seragam ganteng panutan moga anak milik fisik elok mahluk allah"
"228,positive,untung banget deh mas gantengbaiksholehsayang keluargaini suami idam bangetsemoga samawa"
"229,positive,smoga mas agus pimpin datangsalah pimpin sukses sukses pimpin rumah tangga"
"230,positive,dearbpk cra berpakain sangat cermin pribadi sngt lembut gagah moga usernamekel lindung allah swt salam hormat kagum"
"231,positive,sukses kak ayu moga senantiasa naung allah swt sehat amin"
"232,positive,moga ikan sehat umur yah nek muda banget cantik mashaallahhh"
"233,positive,terimakasih pilih plataran darmawangsa acara staff plataran darmawangsa sangat kes sangat tunggu sehat amin amin iya rabbi"
"234,positive,salam dirgantara terima kasih dukung sebar awareness kait program pesawat r80 moga momen emas titik bangkit industri pesawat terbang indonesia jaya eyang habibie ayo langkah terbang pesawat r80 langsung klik link bio yaaa"
"235,positive,semangat iya eyang habibie sehat lindung allah ambisi kuat laku kereeeennnnn moga penurus2 bangsa eyang habibie"
"236,positive,milik cucu2 rupa kebahagian tidak nilai cucu generasi bangsa"
"237,positive,wahhh kerenn bagus nostalgia bersmaa"
"238,positive,cantik gantengganteng sehat bu ani"
"239,positive,barakallah cucu2 cantik ganteng moga anak sholeh sholeha bangga kelg"
"240,positive,bu usernamecucu hati gembirangangenikadang kangen ceria merekasalam kangen cucu2 cinta"
"241,positive,lucu ganteng parah gede pinternya tidak ketulungan salam hormat bu"
"242,positive,terima kasih surabaya ani tani beliau kontribusi sangat indonesia memimpinsemoga bahagia sehat selaluamin"
"243,positive,caption ibudan kali baca captionnya tidak langsung ajar bahasa inggris terima kasih personal tidak kenal anie betapa bangga anak cucu didik generasi bangsa mandiri unggul sehat moga cinta kasih engkau tebar"
"244,positive,assalamualaikum hormat salam banda aceh sangat bangga sangat bahagia lihat sikap etika perilaku sungguh sangat bijaksana mas agus suami sangat calon presiden beliau sangat bangga salam hangat kenal iya bu darmanto rapi photo studio"
"245,positive,senang lihat surabaya nikmat tua brsama cucu cinta sehat iya memo pepo allah swt lindung memo pepo lurah"
"246,positive,semangat mebangun indonesia maju jokowi"
"247,positive,artis kualitas wajah itulohhh kualitas banget hihi cantik bangetsss top deh tidak pakai drama gimick hidup hihi kaya sederhana"
"248,positive,via sptnya siyok lihat kejam dunia artis an mudah2an tetep sabar tetep karya"
"249,positive,suka viaorg jujur tidak gimmick2an hidupnyahitam iya hitamputih iya putihkl bicara blak2ankl tidak suka bicara tidak pura2gw banget sihapa tidak munafiksprti ajar tua gwjangan suka senyum kepalsuanga kaya artis onoh noh mulut lebar kya gorong2tukang ngibulmunfik banget wartawan jawabnyaperilaku omong tidak balance"
"250,positive,go head via cuekin aja gaul dunia kerja masyarakat gaul ertong gatel bin sirik lihat sukses anggep kuman tidak status neng bahan ngetawain tidak"
"251,positive,gagah kali abang borisq tidak bc nmx bner2 tidak sadar it abang bor"
"252,positive,weewww bangga kali liat abang pakai baju adat karo syip"
"253,positive,bagus banget baju anti bahagia weding"
"254,positive,masyaallah bagus banget"
"255,positive,gileee suaraaanyaa kereen parah sukak"
"256,positive,keren nyanyi asli"
"257,positive,kereeeeeeeeeeeeeeennn merinding brrrrr"
"258,positive,yatuhan suaranyaaaaaaa bagus bangetttttttt"
"259,positive,keren suara super merdu coba audisi nyanyi bakat salur"
"260,positive,bagus artis modal tampang suara jelek mending mas nyanyi dasar nasib yak tidak moga mas sukses"
"261,positive,dgrin bulu kuduk saking bgusnya masyaallah apik banget suara"
"262,positive,subhanallah getar hati dengar suara"
"263,positive,allah suara bagus banget cantik idam cowo"
"264,positive,bagusss suara tampil sesuai anak sekolah natural sesuai usia"
"265,positive,kerennnn suara bagus"
"266,positive,cantik polos lihat bakat moga tenar gek selebgram tidak kaya2 novilda iya adik hilang arah beginijangan cepat tumbuh dewasa asah bakat allah bless both"
"267,positive,bagus iniii tidak kaya pingin kenal rambut alus2in muka makeup biar kamera keren hahaha bnr bnr lihat lelah habis pulang sekolah"
"268,positive,ulang kali kali sampet tidak percaya suara asli bagus banget"
